Part No,qty,link,notes
GA12-N20 DC 3V 6V 12V Micro Metal Gear Motor Gear Wheel Gear Motor 30RPM,1,https://www.aliexpress.com/item/1005005699205905.html,3v 30rpm version
Metal Dowel Pins Stainless Steel M1 x 10mm Cylindrical Pin Locating Dowel Parallel Pins Solid Rod,2,https://www.aliexpress.com/item/1005005478162210.html,M1 x 10
Metal Dowel Pins Stainless Steel M2 x 20mm Cylindrical Pin Locating Dowel Parallel Pins Solid Rod,2,https://www.aliexpress.com/item/1005005478162210.html,M2 x 20
Hexagon Hex Socket Countersunk Flat Head Screw M3 x 6mm DIN7991 304 Stainless Steel,2,https://www.aliexpress.com/item/1005006180128211.html,M3 x 6
M2 Micro Carbon Steel Cross Phillips Flat Countersunk Self Tapping Screw Machine Laptop Screws,2,https://www.aliexpress.com/item/1005004177352184.html,M2 x 16
JST XH2.54 Metal Pin,2,https://www.aliexpress.com/item/1005003422202370.html,
JST XH2.54 4 Pin Terminals Plastic Female Socket Wire Connector XH 2.54  4P,1,https://www.aliexpress.com/item/1005003422202370.html,

For Slave Cables:
Flat electrical wire 20251 28AWG 6Core Black/White PVC sheath flat cable wire for RJ12 6P6C telephone Cable,x,https://www.aliexpress.com/item/1005006661746215.html,
Super Thin High Temperature Resistant Double Sided Adhesive Tape For TV Backlight Article Lamp 5mm/8mm,x,https://www.aliexpress.com/item/33004448687.html,
JST XH2.54 Metal Pin,8,https://www.aliexpress.com/item/1005003422202370.html,
JST XH2.54 4 Pin Terminals Plastic Female Socket Wire Connector XH 2.54  4P,2,https://www.aliexpress.com/item/1005003422202370.html,

For Solar Charger:
PCM BMS Li-ion Li-polymer 1S 3.6V 3.7V 1S 18650 21700 Lithium Battery PCB Protection Board 1.5A 2A 3A 3.5A 5A Charge Discharge,,https://www.aliexpress.com/item/1005006052849266.html,
1 Cell Lithium Battery Charging 3.7V 4.2V CN3791 MPPT Solar Panel Regulator Controller Module 5V 6V 9V 12V,,https://www.aliexpress.com/item/1005007355378997.html,
18V 3.8W 236mA Mini Solar Panel 470X60MM Solar Cell DIY For Light Cell Phone Toys Chargers Portable TZT High Quality,,https://www.aliexpress.com/item/1005008600638476.html,
5Pcs SH1.0 JST1.25 ZH1.5 To PH2.0 To XH2.54 Adapter Conversion Terminal Wire Connecting Line Cable 2P 3P 4P 5P 6P,,https://www.aliexpress.com/item/1005006895796837.html, 1.25 to PH2.0, 2P, 20CM, Same direction

Recommended tools:
Micro Connector Crimping Tool YE-013BR For XH2.54/PH2.0/ZH1.5 D-Sub,Open Barrel Suits Molex,JST Pliers 0.03-0.5mm²/32-20AWG,,https://www.aliexpress.com/item/1005005953582688.html,
80 Gears Spot Welder Adjustable Portable Handheld Digital Display Mini Spot Welding Machine Automatic Trigger for 18650 Battery,,https://www.aliexpress.com/item/1005005611551469.html,
